AW	AW01	ZMW + Dämmung	U-Wert vorh.:	0,130	U-Wert erf.:	0,350	Flächenbezogene Masse:	256,60
	5.0	Nutzholz (475 kg/m³ - zB Fichte/Tanne) - rauh, technisch getrocknet	0,010	0,120	4,75	0,6250	0,030	V
	5.1	Glaswolle MW(GW)-W (18 kg/m³)	0,010	0,038	0,18	0,0000	0,000	
	6	Gipskartonplatte (900 kg/m³)	0,0125	0,250	11,25	0,0000	0,000	
	7	Gipskartonplatte (900 kg/m³)	0,0125	0,250	11,25	0,0000	0,000	

IW	IW06	Zwischenwand Massivholz	U-Wert vorh.:	0,875	U-Wert erf.:	0,000	Flächenbezogene Masse:	58,75
		
	1	Gipskartonplatte (bei Feuchtraum GKI)	0,0125	0,250	11,25	0,0000	0,000	
	2	Massivholzplatte (z.B.: KLH 100_3s_DL	0,100	0,120	47,50	0,0000	0,000	

IW	IW07	Zwischenwand GK (über 4m bis 5,95 Höhe)	U-Wert vorh.:	0,617	U-Wert erf.:	0,000	Flächenbezogene Masse:	42,20
		
	1	Gipskartonplatte GKF (bei Feichtraum GKI)	0,0125	0,250	9,75	0,0000	0,000	
	2	Gipskartonplatte GKF (bei Feichtraum GKI)	0,0125	0,250	9,75	0,0000	0,000	
	3.0	CW 75	0,075	50,000	585,00	0,6250	0,002	V
	3.1	Mineralwolle	0,075	0,038	1,35	0,0000	0,000	
	4	Gipskartonplatte GKF (bei Feichtraum GKI)	0,0125	0,250	9,75	0,0000	0,000	
	5	Gipskartonplatte GKF (bei Feichtraum GKI)	0,0125	0,250	9,75	0,0000	0,000	

IW	IW08	Zwischenwand GK EI90	U-Wert vorh.:	0,617	U-Wert erf.:	0,000	Flächenbezogene Masse:	42,20
		
	1	Gipskartonplatte GKF	0,0125	0,250	9,75	0,0000	0,000	
	2	Gipskartonplatte GKF	0,0125	0,250	9,75	0,0000	0,000	
	3.0	CW 75	0,075	50,000	585,00	0,6250	0,002	V
	3.1	Mineralwolle	0,075	0,038	1,35	0,0000	0,000	
	4	Gipskartonplatte GKF	0,0125	0,250	9,75	0,0000	0,000	
	5	Gipskartonplatte GKF	0,0125	0,250	9,75	0,0000	0,000	

IW	IW09	Zwischenwand Massivholz	U-Wert vorh.:	0,507	U-Wert erf.:	0,000	Flächenbezogene Masse:	69,40
		
	1	Gipskartonplatte GKF	0,0125	0,250	9,75	0,0000	0,000	
	2	Gipskartonplatte GKF	0,0125	0,250	9,75	0,0000	0,000	
	3.0	CW 50	0,050	50,000	390,00	0,6250	0,002	V
	3.1	Mineralwolle	0,050	0,038	0,90	0,0000	0,000	
	4	Hohlraum (Installationsführung)	0,225	1,563	0,27	0,0000	0,000	
	5	Massivholzplatte (z.B.: KLH 100_3s_DL)	0,100	0,120	47,50	0,0000	0,000	

IW	xxxx	Ersatzbauteil für Innenverglasung	U-Wert vorh.:	3,846	U-Wert erf.:	0,000	Flächenbezogene Masse:	0,00
		Ersatz für resRW für DnTw Berechnung von Zwiaschenwänden

IW	xxxx	Ersatzbauteil für Innenverglasung	U-Wert vorh.:	3,846	U-Wert erf.:	0,000	Flächenbezogene Masse:	0,00
		Ersatz für resRW für DnTw Berechnung von Zwiaschenwänden

IW	xxxx	Ersatzbauteil Trennwand Gangbereich - Gruppenr. 2	U-Wert vorh.:	1,387	U-Wert erf.:	0,000	Flächenbezogene Masse:	455,00
		Ersatzbauteil
	1	Kalkzementmauermörtel (1800 kg/m³)	0,015	1,050	27,00	0,0000	0,000	
	2	POROTHERM 25 SSZ HD	0,250	0,577	401,00	0,0000	0,000	
	3	Kalkzementmauermörtel (1800 kg/m³)	0,015	1,050	27,00	0,0000	0,000	

IW	xxxx	Ersatzbauteil Trennwand Gruppenr. 2 - Sanitärbereich	U-Wert vorh.:	3,846	U-Wert erf.:	0,000	Flächenbezogene Masse:	0,00
		Ersatzbauteil

